placeID,name,link,address,open_time,price_range,average_score,total_review
37,Chao Chicken - Gà Rán Hàn Quốc,https://www.foody.vn/ho-chi-minh/chaos-chicken-ga-ran-han-quoc,"S43 - 1 Đường Số 6, Khu Hưng Vượng 2, Phú Mỹ Hưng,  Quận 7, TP. HCM",11:00 AM - 10:00 PM,50.000đ - 150.000đ,6.9,425
38,Chilli - Lẩu Nướng Tự Chọn,https://www.foody.vn/ho-chi-minh/lau-nuong-chilli,"232 Vĩnh Khánh,  Quận 4, TP. HCM",,50.000đ - 100.000đ,7.0,440
39,Cháo Vịt Út Be,https://www.foody.vn/ho-chi-minh/chao-vit-ut-be,"237 Lê Văn Lương, P. Phước Kiểng,  Nhà Bè, TP. HCM",11:30 AM - 03:30 PM,40.000đ - 200.000đ,7.5,8
40,Chè Khúc Bạch Đỗ Ngọc,https://www.foody.vn/ho-chi-minh/che-khuc-bach-do-ngoc,"666 Sư Vạn Hạnh,  Quận 10, TP. HCM",11:00 AM - 10:30 PM,18.000đ - 28.000đ,6.9,464
41,Chú 5 Lùn - Quán Hải Sản,https://www.foody.vn/ho-chi-minh/chu-5-lun-quan-hai-san,"Ấp Thạnh Bình, Xã Đảo Thạnh An,  Cần Giờ, TP. HCM",07:00 - 22:00,10.000đ - 200.000đ,8.7,2
42,Citizone Coffee - Ông Ích Đường,https://www.foody.vn/ho-chi-minh/citizone-ong-ich-duong,"11 Ông Ích Đường,  Củ Chi, TP. HCM",07:30 AM - 10:00 PM,30.000đ - 40.000đ,8.2,5
43,City House Cafe - Sân Vườn Lãng Mạn,https://www.foody.vn/ho-chi-minh/city-house-cafe,"21 Huỳnh Khương An, P. 5,  Quận Gò Vấp, TP. HCM",07:00 AM - 10:00 PM,25.000đ - 55.000đ,7.0,157
44,Cửa Hàng Ăn Uống 176,https://www.foody.vn/ho-chi-minh/cua-hang-an-uong-176,"176 Nam Kỳ Khởi Nghĩa, P. 6,  Quận 3, TP. HCM",,20.000đ - 88.000đ,7.2,500
45,Cơm Trộn 2 Cô - Lê Văn Sỹ,https://www.foody.vn/ho-chi-minh/com-tron-2-co-le-van-sy,"392 Lê Văn Sỹ, P. 2,  Quận Tân Bình, TP. HCM",09:30 AM - 09:00 PM,35.000đ - 75.000đ,6.5,217
46,Cơm Trộn 2 Cô - Xô Viết Nghệ Tĩnh,https://www.foody.vn/ho-chi-minh/com-tron-2-co,"294/63 Xô Viết Nghệ Tĩnh, P. 21,  Quận Bình Thạnh, TP. HCM",10:00 AM - 09:00 PM,30.000đ - 50.000đ,6.7,211
47,Cơm Tấm Ba Ghiền,https://www.foody.vn/ho-chi-minh/com-tam-ba-ghien,"84 Đặng Văn Ngữ, P. 10,  Quận Phú Nhuận, TP. HCM",08:00 AM - 09:00 PM,40.000đ - 66.000đ,6.4,301
48,Cơm Tấm Thanh Ngọc,https://www.foody.vn/ho-chi-minh/com-tam-thanh-ngoc,"1740 Huỳnh Tấn Phát,  Nhà Bè, TP. HCM",07:00 AM - 09:00 PM,22.000đ - 30.000đ,7.6,9
49,Country House Cafe,https://www.foody.vn/ho-chi-minh/country-house-cafe,"18C Phan Văn Trị, P. 10,  Quận Gò Vấp, TP. HCM",Cả ngày  07:00 AM - 11:00 PM,25.000đ - 66.000đ,7.3,354
50,Cowboy Jack's - American Dining - Aeon Mall Bình Tân,https://www.foody.vn/ho-chi-minh/cowboy-jack-s-american-dining-aeon-mall-binh-tan,"Tầng Trệt, Aeon Mall Bình Tân, 1 Đường Số 17A, P. Bình Trị Đông B,  Quận Bình Tân, TP. HCM",10:00 - 10:00 PM,150.000đ - 300.000đ,7.4,71
51,Cowboy Jack's - American Dining - Vincom Lê Văn Việt,https://www.foody.vn/ho-chi-minh/cowboy-jack-s-american-dining-vincom-le-van-viet,"Tầng L4 - 02, TTTM Vincom Lê Văn Việt, 50 Lê Văn Việt, P. Hiệp Phú,  Quận 9, TP. HCM",9:00 AM - 10:00 PM,150.000đ - 300.000đ,7.7,31
52,Cổ Gia Quý - Cafe & Restaurant,https://www.foody.vn/ho-chi-minh/co-gia-quy-cafe-restaurant,"802A Nguyễn Văn Tạo, X. Hiệp Phước,  Nhà Bè, TP. HCM",07:00 AM - 10:30 PM,20.000đ - 220.000đ,8.2,17
53,Da Heo Út Cưng - Kinh Dương Vương,https://www.foody.vn/ho-chi-minh/da-heo-ut-cung-kinh-duong-vuong,"Hẻm 504 Kinh Dương Vương, P. An Lạc,  Quận Bình Tân, TP. HCM",09:00 AM - 09:00 PM,25.000đ - 65.000đ,7.6,157
54,Dallas Cakes & Coffee - Phan Xích Long,https://www.foody.vn/ho-chi-minh/dallas-cakes-coffee-phan-xich-long,"53 Phan Xích Long, P. 7,  Quận Phú Nhuận, TP. HCM",T7 - CN  08:00 AM - 10:00 PM,20.000đ - 44.000đ,7.3,286
55,Đệ Nhất BBQ,https://www.foody.vn/ho-chi-minh/de-nhat-bbq,"43-45 Đường Số 1A, KDC Trung Sơn, Bình Hưng,  Bình Chánh, TP. HCM",,20.000đ - 80.000đ,5.0,46
56,Dim Tu Tac Restaurant - Nhà Hàng Quảng Đông,https://www.foody.vn/ho-chi-minh/dim-tu-tac-restaurant-nha-hang-quang-dong,"5 Nguyễn Tất Thành. P. 12,  Quận 4, TP. HCM",09:00 AM - 10:00 PM,100.000đ - 250.000đ,7.5,115
57,Ding Tea - Cộng Hòa,https://www.foody.vn/ho-chi-minh/ding-tea-cong-hoa,"47 Cộng Hòa,  Quận Tân Bình, TP. HCM",09:00 AM - 10:00 PM,25.000đ - 50.000đ,7.5,345
58,Điền Trang Quán - Hải Sản Tươi Sống,https://www.foody.vn/ho-chi-minh/dien-trang-quan-hai-san-tuoi-song,"Thạnh Thới, Long Hòa,  Cần Giờ, TP. HCM",07:00 AM - 10:30 PM,30.000đ - 100.000đ,5.6,2
59,Đức Bảo Gartenstadt - Ẩm Thực Đức,https://www.foody.vn/ho-chi-minh/duc-bao-gartenstadt,"34 Đồng Khởi, P. Bến Nghé,  Quận 1, TP. HCM",10:30 AM - 11:30 PM,250.000đ - 440.000đ,7.8,42
60,Đức Dương - Ẩm Thực Sinh Thái,https://www.foody.vn/ho-chi-minh/duc-duong-am-thuc-sinh-thai,"102 Lê Văn Lương,  Nhà Bè, TP. HCM",0 - 0,150.000đ - 330.000đ,7.8,5
61,Domino's Pizza - Lê Văn Việt,https://www.foody.vn/ho-chi-minh/domino-s-pizza-le-van-viet,"196 Lê Văn Việt, P. Tăng Nhơn Phú B,  Quận 9, TP. HCM",08:00 AM - 10:00 PM,80.000đ - 200.000đ,7.5,32
62,Domino's Pizza - Tên Lửa,https://www.foody.vn/ho-chi-minh/domino-s-pizza-ten-lua,"348 - 350 Tên Lửa, P. Bình Trị Đông B,  Quận Bình Tân, TP. HCM",10:00 AM - 10:00 PM,49.000đ - 199.000đ,7.2,24
63,Doraemon Tofu Factory - AEON Mall,https://www.foody.vn/ho-chi-minh/doraemon-tofu-factory-aeon-mall,"Tầng Trệt AEON Mall, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ,  Quận Tân Phú, TP. HCM",10:00 AM - 10:00 PM,7.000đ - 44.000đ,7.1,110
64,Dream Tea,https://www.foody.vn/ho-chi-minh/dream-tea,"70B Hậu Giang, P. 6,  Quận 6, TP. HCM",09:30 AM - 10:30 PM,30.000đ - 65.000đ,6.9,61
65,Đảo Hải Long - Nhà Hàng Hải Sản & Đặc Sản,https://www.foody.vn/ho-chi-minh/dao-hai-long-nha-hang-hai-san-dac-san,"4/54 Nguyễn Văn Tạo, Ấp 1, Nhơn Đức,  Nhà Bè, TP. HCM",10:00 - 22:00,300.000đ - 500.000đ,7.4,9
66,Du Miên Cafe - Hồ Biểu Chánh,https://www.foody.vn/ho-chi-minh/du-mien-cafe,"48/9A Hồ Biểu Chánh, P. 11,  Quận Phú Nhuận, TP. HCM",Cả ngày  07:00 AM - 10:00 PM,30.000đ - 66.000đ,7.1,117
67,Du Miên Garden Cafe - Phan Văn Trị,https://www.foody.vn/ho-chi-minh/du-mien-garden-cafe,"7 Phan Văn Trị, P. 10,  Quận Gò Vấp, TP. HCM",07:00 AM - 11:00 PM,40.000đ - 88.000đ,7.0,448
68,Dê Đỉnh Núi - Lẩu & Xiên Que Tự Chọn,https://www.foody.vn/ho-chi-minh/de-dinh-nui-lau-xien-que-tu-chon,"C19 Đường 9A, KDC Trung Sơn,  Bình Chánh, TP. HCM",09:00 AM - 11:00 PM,30.000đ - 180.000đ,6.5,17
69,Effoc Cafe - Bàu Cát,https://www.foody.vn/ho-chi-minh/effoc-cafe-bau-cat,"70 - 72Bis Bàu Cát, P. 14,  Quận Tân Bình, TP. HCM",07:00 AM - 10:00 PM,15.000đ - 65.000đ,7.3,42
70,Effoc Cafe - Cộng Hòa,https://www.foody.vn/ho-chi-minh/effoc-cafe-cong-hoa,"20 Cộng Hòa, P. 12,  Quận Tân Bình, TP. HCM",08:00 - 22:30,25.000đ - 65.000đ,7.9,4
71,Effoc Cafe - Đồng Nai,https://www.foody.vn/ho-chi-minh/effoc-cafe-dong-nai,"92 Đồng Nai, P. 15,  Quận 10, TP. HCM",07:00 AM - 10:00 PM,25.000đ - 55.000đ,7.1,17
72,Effoc Cafe - Lũy Bán Bích,https://www.foody.vn/ho-chi-minh/effoc-cafe-luy-ban-bich,"691 Lũy Bán Bích, P. Phú Thọ Hòa,  Quận Tân Phú, TP. HCM",08:00 - 22:00,25.000đ - 65.000đ,7.0,7
73,Effoc Cafe - Lê Đại Hành,https://www.foody.vn/ho-chi-minh/effoc-cafe-le-dai-hanh,"195 Lê Đại Hành, P. 13,  Quận 11, TP. HCM",07:00 AM - 10:00 PM,25.000đ - 55.000đ,6.8,54
74,Effoc Cafe - Nguyễn Thị Thập,https://www.foody.vn/ho-chi-minh/effoc-cafe-nguyen-thi-thap,"158 Nguyễn Thị Thập,  Quận 7, TP. HCM",07:00 AM - 10:00 PM,20.000đ - 70.000đ,7.6,18
75,Effoc Cafe - Nguyễn Thượng Hiền,https://www.foody.vn/ho-chi-minh/effoc-cafe-nguyen-thuong-hien,"369 Nguyễn Thượng Hiền, P. 11,  Quận 10, TP. HCM",Nguyên ngày  08:00 AM - 10:00 PM,25.000đ - 55.000đ,6.8,169
76,Effoc Cafe - Nguyễn Tri Phương,https://www.foody.vn/ho-chi-minh/effoc-cafe-nguyen-tri-phuong,"212 Nguyễn Tri Phương, P. 4,  Quận 10, TP. HCM",07:00 AM - 10:00 PM,20.000đ - 50.000đ,7.0,133
77,Effoc Cafe - Nguyễn Văn Quá,https://www.foody.vn/ho-chi-minh/effoc-cafe-nguyen-van-qua,"96/3 Nguyễn Văn Quá, P. Đông Hưng Thuận,  Quận 12, TP. HCM",08:00 - 22:00,25.000đ - 50.000đ,7.7,3
78,Effoc Cafe - Nguyễn Văn Tráng,https://www.foody.vn/ho-chi-minh/effoc-cafe-nguyen-van-trang,"29 Nguyễn Văn Tráng, P. Bến Thành,  Quận 1, TP. HCM",07:30 AM - 10:30 PM,25.000đ - 43.000đ,7.1,130
79,Effoc Cafe - Sư Vạn Hạnh,https://www.foody.vn/ho-chi-minh/effoc-cafe-su-van-hanh,"499 Sư Vạn Hạnh,  Quận 10, TP. HCM",,25.000đ - 55.000đ,6.8,489
80,Effoc Cafe - Xô Viết Nghệ Tĩnh,https://www.foody.vn/ho-chi-minh/effoc-cafe,"818 Xô Viết Nghệ Tĩnh, P. 25,  Quận Bình Thạnh, TP. HCM",09:00 AM - 10:00 PM,25.000đ - 65.000đ,6.8,16
81,Fly Cupcake Garden - Tú Xương,https://www.foody.vn/ho-chi-minh/fly-cupcake-tu-xuong,"25B Tú Xương, P. 7,  Quận 3, TP. HCM",07:00 AM - 10:30 PM,35.000đ - 65.000đ,7.1,432
82,Food Court - AEON Mall Tân Phú,https://www.foody.vn/ho-chi-minh/foodcourt-aeon-mall,"Tầng Trệt, AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ,  Quận Tân Phú, TP. HCM",09:00 AM - 10:00 PM,30.000đ - 22.000đ,7.5,532
83,Gateaux De Min,https://www.foody.vn/ho-chi-minh/gateaux-de-min,"83 Huỳnh Tấn Phát,  Nhà Bè, TP. HCM",09:00 AM - 10:00 PM,20.000đ - 500.000đ,8.1,5
84,Gà Rán Popeyes - Lê Đức Thọ,https://www.foody.vn/ho-chi-minh/ga-ran-popeyes-le-duc-tho,"121 Lê Đức Thọ,  Quận Gò Vấp, TP. HCM",09:30 AM - 09:00 PM,40.000đ - 88.000đ,7.0,21
85,Genki Sushi - Take Away & Delivery,https://www.foody.vn/ho-chi-minh/genki-sushi-take-away-delivery,"928 Lê Văn Lương, Phước Kiểng,  Nhà Bè, TP. HCM",Thứ 2 - Thứ 7:  10:00 AM - 05:00 PM,30.000đ - 150.000đ,8.1,8
86,Geylang@Saigon - Nguyễn Hữu Thọ,https://www.foody.vn/ho-chi-minh/geylang-saigon-nguyen-huu-tho,"68 Nguyễn Hữu Thọ, P. Tân Hưng,  Quận 7, TP. HCM",08:00 AM - 10:00 PM,100.000đ - 200.000đ,7.5,130
87,Gió Rừng - Cần Giờ,https://www.foody.vn/ho-chi-minh/gio-rung,"Thạnh Thới, Long Hòa,  Cần Giờ, TP. HCM",,60.000đ - 165.000đ,5.9,2
88,Gogi House - Quán Nướng Hàn Quốc - Vincom Lê Văn Việt,https://www.foody.vn/ho-chi-minh/gogi-house-quan-nuong-han-quoc-vincom-le-van-viet,"Tầng L4-02 Vincom Lê Văn Việt, 50 Lê Văn Việt, P. Hiệp Phú,  Quận 9, TP. HCM",10:00 AM - 10:00 PM,300.000đ - 500.000đ,7.4,26
89,Gogi House - Quán Nướng Hàn Quốc - Vincom Thủ Đức,https://www.foody.vn/ho-chi-minh/gogi-house-quan-nuong-han-quoc-vincom-thu-duc,"Tầng 3 Vincom Thủ Đức, 216 Võ Văn Ngân,  Quận Thủ Đức, TP. HCM",10:00 AM - 10:00 PM,79.000đ - 250.000đ,7.8,94
90,GoGi House - Quán Thịt Nướng Hàn Quốc - Aeon Mall Bình Tân,https://www.foody.vn/ho-chi-minh/gogi-house-aeon-mall-binh-tan-quan-thit-nuong-han-quoc,"Tầng 3, Aeon Mall Bình Tân,1 Đường Số 17A, KP. 11, P. Bình Trị Đông B,  Quận Bình Tân, TP. HCM",10:00 - 22:00,150.000đ - 250.000đ,6.7,41
91,Goku Raku Ramen - AEON Mall Tân Phú,https://www.foody.vn/ho-chi-minh/goku-raku-ramen-aeon-mall,"Tầng 1, AEON Mall Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ,  Quận Tân Phú, TP. HCM",10:00 AM - 10:00 PM,28.000đ - 108.000đ,7.2,169
92,Golden Coffee,https://www.foody.vn/ho-chi-minh/golden-coffee,"CV Phần Mềm Quang Trung, Tô Ký,  Quận 12, TP. HCM",07:00 AM - 10:00 PM,20.000đ - 43.000đ,6.9,26
93,Gà Hấp Hèm 34 Hóc Môn,https://www.foody.vn/ho-chi-minh/ga-hap-hem-34-hoc-mon,"52/4 Nguyễn Thị Thử, Xã Xuân Thái Sơn,  Hóc Môn, TP. HCM",10:00 AM - 10:00 PM,120.000đ - 198.000đ,6.6,28
94,Gà Nướng Ò Ó O - 82 Tô Vĩnh Diện,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-82-to-vinh-dien,"82 Tô Vĩnh Diện, P. Linh Chiểu,  Quận Thủ Đức, TP. HCM",11:00 - 22:00,50.000đ - 175.000đ,7.7,3
95,Gà Nướng Ò Ó O - Đinh Tiên Hoàng,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-dinh-tien-hoang,"110 Đinh Tiên Hoàng, P. 1,  Quận Bình Thạnh, TP. HCM",11:00 - 22:00,50.000đ - 175.000đ,7.2,36
96,Gà Nướng Ò Ó O - Hậu Giang,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-hau-giang,"218 Hậu Giang, P. 9,  Quận 6, TP. HCM",11:00 AM - 10:00 PM,50.000đ - 175.000đ,7.2,40
97,Gà Nướng Ò Ó O - Lương Hữu Khánh,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-luong-huu-khanh,"8 Lương Hữu Khánh, P. Phạm Ngũ Lão,  Quận 1, TP. HCM",11:00 - 22:00,50.000đ - 175.000đ,6.8,59
98,Gà Nướng Ò Ó O - Lê Văn Sỹ,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-le-van-sy,"220/58 Lê Văn Sỹ, P.14,  Quận 3, TP. HCM",11:00 AM - 10:00 PM,50.000đ - 175.000đ,6.8,576
99,Gà Nướng Ò Ó O - Nguyễn Hồng Đào,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-nguyen-hong-dao,"212 Nguyễn Hồng Đào, P. 14,  Quận Tân Bình, TP. HCM",Thứ 2 - CN  11:00 AM - 10:00 PM,50.000đ - 175.000đ,6.9,161
100,Gà Nướng Ò Ó O - Parkson Hùng Vương Plaza,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-parkson-hung-vuong-plaza,"Tầng 3 Food Court, Parkson Hùng Vương, 126 Hùng Vương, P. 12,  Quận 5, TP. HCM",09:00 AM - 09:30 PM,50.000đ - 175.000đ,7.7,10
101,Gà Nướng Ò Ó O - Quang Trung,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-quang-trung,"50/25 Quang Trung, P. 10,  Quận Gò Vấp, TP. HCM",11:00 AM - 10:00 PM,50.000đ - 175.000đ,7.1,59
102,Gà Nướng Ò Ó O - Sư Vạn Hạnh,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-su-van-hanh,"567 Sư Vạn Hạnh, P. 13,  Quận 10, TP. HCM",11:00 AM - 10:00 PM,70.000đ - 150.000đ,6.6,66
103,Gà Nướng Ò Ó O - Trường Sa,https://www.foody.vn/ho-chi-minh/ga-nuong-o-o-o-truong-sa,"816 Trường Sa, P. 14,  Quận 3, TP. HCM",11:00 AM - 10:00 PM,50.000đ - 175.000đ,7.3,22
104,Gà Rán Popeyes - Bưu Điện Thành Phố,https://www.foody.vn/ho-chi-minh/ga-ran-popeyes-buu-dien-thanh-pho,"2 Công Xã Paris,  Quận 1, TP. HCM",09:30 AM - 09:00 PM,60.000đ - 150.000đ,7.4,268
